id,facility_type,name,sido,sigungu,address,doctor_count,lat,lon,useAprDay,strctCdNm,mainPurpsCdNm,totArea,flrNo,fire_station_dist_km,scale_group,distance_group,age_group,road_type,vam_score
1,요양병원,(의)밀성학원의료재단 성모아하브요양병원,경남,김해시,"경상남도 김해시 김해대로 2479-1, (삼정동)",5,35.228120510318206,128.89804210324337,,,,,,0.2753474925892435,미상,근거리 (1km 미만),미상,기타,100
2,요양병원,(의)수의료재단 서청솔요양병원,경남,김해시,"경상남도 김해시 금관대로1084번길 15, (흥동)",7,35.224099649793146,128.8506831654608,20190118,,의료시설,6504.8,0.0,1.2941891878261786,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),신축 (2015년 이후),기타,100
3,요양병원,(의)영님의료재단 개금중앙요양병원,부산,부산진구,"부산광역시 부산진구 개금온정로 5, 지하1,지상3층 (개금동, 성원상떼뷰)",6,35.15377865835054,129.02467098302654, ,,공동주택,52685.46,0.0,1.4449282325428763,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),미상,기타,65
4,요양병원,(의)피터의료재단새소망요양병원,부산,부산기장군,"부산광역시 기장군 기장읍 기장해안로 552, (기장읍)",4,35.222808247199666,129.22690366170295,20051230,,제2종근린생활시설,4065.32,0.0,2.0158104763741633,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),일반 (2000~2015년),기타,65
5,요양병원,(의)현당의료재단 늘봄요양병원,경기,용인수지구,"경기도 용인시 수지구 포은대로59번길 17, 광교복합의료센터,지하1층,1층일부,2층~4층,6층 (상현동)",6,37.30110009552249,127.06580901161504,20200206,,의료시설,14425.88,0.0,1.5924710667988018,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),신축 (2015년 이후),기타,100
6,요양병원,(의)환명의료재단 경상남도립김해노인전문병원,경남,김해시,"경상남도 김해시 김해대로 1814-39, (삼계동)",6,35.26161626138929,128.861007370231, ,,의료시설,5440.33,0.0,0.6088986986721929,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),미상,기타,80
7,요양병원,BB요양병원,울산,울산북구,"울산광역시 북구 염포로 353, (양정동)",5,35.55933000340818,129.37804703669872,20170621,,의료시설,4910.35,0.0,2.8262429214379874,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),신축 (2015년 이후),기타,100
8,요양병원,SKJ상경원요양병원,경기,여주시,"경기도 여주시 강천면 걸촌동길 33-4, (강천면)",1,37.289019344630994,127.70213567120139, ,, ,0.0,0.0,1.9556310252134579,미상,중거리 (1~3km),미상,기타,65
9,요양병원,가나안요양병원,부산,부산수영구,"부산광역시 수영구 수영로 563-1, 지하1~10층 (광안동)",5,35.15618229354189,129.1123916693225,20190515,,의료시설,5034.0,0.0,0.761588723815051,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),신축 (2015년 이후),기타,100
10,요양병원,가야요양병원,충남,천안동남구,"충청남도 천안시 동남구 영성로 7, (영성동, 가야요양병원)",5,36.798959560921645,127.15056494886298,20080428,,의료시설,4034.56,0.0,1.2781193343378905,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),일반 (2000~2015년),기타,80
11,요양병원,가야이요양병원,경북,성주군,"경상북도 성주군 성주읍 주산로 183, (성주읍)",4,35.933193326573594,128.3036850597968,20190214,,의료시설,2527.41,0.0,0.12470916821387705,중규모 (연면적 1000~3000㎡),근거리 (1km 미만),신축 (2015년 이후),기타,100
12,요양병원,가온요양병원,인천,인천남동구,"인천광역시 남동구 남동대로 797, 가온 요양병원 (구월동)",7,37.453535854560876,126.70773678473228,20170622,,의료시설,6107175.0,0.0,0.8860962309311783,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),신축 (2015년 이후),기타,100
13,요양병원,가은병원,경기,부천소사구,"경기도 부천시 소사구 마니로24번길 43-17, 가은병원(본관, 항암치료센터) (송내동)",12,37.47745331672322,126.76886987916639, ,, ,0.0,0.0,1.1396119490799868,미상,중거리 (1~3km),미상,기타,65
14,요양병원,가족사랑 요양병원,부산,부산진구,"부산광역시 부산진구 새싹로 286, 4~9층 (초읍동)",6,35.1816750782383,129.0472976877193, ,, ,0.0,0.0,1.6694257481424395,미상,중거리 (1~3km),미상,기타,65
15,요양병원,가창파티마요양병원,대구,대구달성군,"대구광역시 달성군 가창면 가창로85길 24-6, (가창면)",5,35.75000781583759,128.6498538319017,20160420,,의료시설,3854.21,0.0,1.3712153537182046,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),신축 (2015년 이후),기타,100
16,요양병원,가평산속요양병원,경기,가평군,"경기도 가평군 상면 대보간선로 889, (상면)",2,37.788738964311584,127.40463131114812, ,,교육연구및복지시설,2203.56,0.0,4.59456935830559,중규모 (연면적 1000~3000㎡),원거리 (3km 초과),미상,기타,45
17,요양병원,가평푸른숲요양병원,경기,가평군,"경기도 가평군 상면 물골길 262-23, (상면)",3,37.840835401787515,127.30421276165087, ,,단독주택,7354.08,0.0,4.8456594861338145,대규모 (연면적 3000㎡ 이상),원거리 (3km 초과),미상,기타,45
18,요양병원,감꽃요양병원,경북,청도군,"경상북도 청도군 각북면 헐티로 1229, (각북면)",3,35.71437731115679,128.56624436891497, ,,창고시설,196.0,0.0,9.30854996130844,소규모 (연면적 1000㎡ 미만),원거리 (3km 초과),미상,기타,45
