id,facility_type,name,sido,sigungu,address,capacity,caregiver_count,lat,lon,useAprDay,strctCdNm,mainPurpsCdNm,totArea,flrNo,fire_station_dist_km,scale_group,distance_group,age_group,road_type,vam_score
1288,요양원,청운노인요양원,,종로구,종로구 비봉길 76 (구기동),38,27,37.61522412515482,126.95454359783241, ,,노유자시설,1181.44,0.0,1.1812392715308253,중규모 (10~49인),중거리 (1~3km),미상,기타,80
1289,요양원,인자인케어센터,,종로구,종로구 평창17길 26 (평창동),42,31,37.61286372818236,126.96666381719875, ,, ,0.0,0.0,0.9320241148552751,중규모 (10~49인),근거리 (1km 미만),미상,기타,65
1290,요양원,평창동시니어센터,,종로구,종로구 평창15길 10 (평창동),68,50,37.61061284179556,126.9656866710063, ,, ,0.0,0.0,0.677953451176337,대규모 (50인 이상),근거리 (1km 미만),미상,기타,65
1291,요양원,아름다운뜰안에 요양원,,종로구,종로구 평창21길 70 (평창동),38,27,37.611536956558965,126.96829612808023,20130613,,노유자시설,899.73,0.0,0.9083306488008328,중규모 (10~49인),근거리 (1km 미만),일반 (2000~2015년),기타,80
1292,요양원,서울여자간호대학교 휴먼캐슬,,종로구,종로구 평창길 318 (평창동),38,27,37.61400721145863,126.97721686705003,20030318,,교육연구및복지시설,869.87,0.0,1.6989843424256197,중규모 (10~49인),중거리 (1~3km),일반 (2000~2015년),기타,65
1293,요양원,세검정실버홈,,종로구,종로구 평창2길 5 (평창동),23,15,37.60568074758335,126.96369456680976,20050928,,교육연구및복지시설,162.88,0.0,0.24364019720466992,중규모 (10~49인),근거리 (1km 미만),일반 (2000~2015년),기타,65
1294,요양원,해피움시니어스타워 (종로점),,종로구,종로구 홍지문길 29 (홍지동),77,59,37.60202173747861,126.95743081347302,20150724,,노유자시설,2341.55,0.0,0.5139806535112144,대규모 (50인 이상),근거리 (1km 미만),일반 (2000~2015년),기타,100
1295,요양원,아름다운재활요양원,,종로구,종로구 평창25길 8 (평창동),58,43,37.61032340271714,126.97456527101332,20230214,,노유자시설,1391.69,0.0,1.3011037936159031,대규모 (50인 이상),중거리 (1~3km),신축 (2015년 이후),기타,100
1296,요양원,남산실버복지센터,,중구,중구 동호로5길 189 (신당동),14,15,37.54682670451823,127.008808719945,,,,,,0.679749855437314,중규모 (10~49인),근거리 (1km 미만),미상,기타,100
1297,요양원,구립중구노인요양센터,,중구,중구 필동로 96 (장충동2가),60,46,37.55334629161845,126.99681595240168,,,,,,0.9272407501093723,대규모 (50인 이상),근거리 (1km 미만),미상,기타,100
1298,요양원,구립용산노인전문요양원,,용산구,용산구 효창원로93길 51 (효창동),91,65,37.54705141647872,126.9616365940717,,,,,,0.37116538806308896,대규모 (50인 이상),근거리 (1km 미만),미상,기타,100
1299,요양원,구립한남노인요양원,,용산구,용산구 독서당로 103 (한남동),81,59,37.53563164826696,127.01081848835071,,,,,,1.329829592523857,대규모 (50인 이상),중거리 (1~3km),미상,기타,100
1300,요양원,시립동부노인전문요양센터,,성동구,성동구 마장로23길 12 (홍익동),296,201,37.56773171621384,127.03259676031612, ,, ,0.0,0.0,0.6821360179797696,대규모 (50인 이상),근거리 (1km 미만),미상,기타,65
1301,요양원,금호노인요양원,,성동구,"성동구 금호로 45 B2,201,301호 (금호동4가)",46,31,37.54752920190596,127.02530493297209,20010310,,공동주택,4159.72,0.0,0.7247744076441157,중규모 (10~49인),근거리 (1km 미만),일반 (2000~2015년),기타,65
1302,요양원,이암요양원,,성동구,"성동구 마장로 125 (상왕십리동, 천리혜성교회 5층,6층)",49,25,37.56810886278423,127.02397601714475,,,,,,0.8247219161934468,중규모 (10~49인),근거리 (1km 미만),미상,기타,100
1303,요양원,송정요양원,,성동구,성동구 고산자로8길 5 (행당동),49,31,37.557567496346124,127.03457035585836,20131112,,제1종근린생활시설,1541.02,0.0,0.49501025938287035,중규모 (10~49인),근거리 (1km 미만),일반 (2000~2015년),기타,65
1304,요양원,광진소규모요양시설,,광진구,광진구 자양로51길 11-25 (구의동),29,19,37.55309648729097,127.09241844125768,20090819,,노유자시설,837.96,0.0,1.0741138069651364,중규모 (10~49인),중거리 (1~3km),일반 (2000~2015년),기타,80
1305,요양원,광진원광실버센터,,광진구,광진구 아차산로63길 35 (구의동),15,13,37.54096854851578,127.0920144758478,19971030,,근린생활시설,198.73,0.0,0.9138263778830039,중규모 (10~49인),근거리 (1km 미만),노후 (2000년 이전),기타,65
1306,요양원,광진한울촌노인요양시설,,광진구,광진구 군자로 79 (군자동),93,62,37.55017797387208,127.07064647982018, ,,노유자시설,1868.83,0.0,0.5737052635428206,대규모 (50인 이상),근거리 (1km 미만),미상,기타,80
1307,요양원,므두셀라실버타운,,광진구,광진구 능동로 360 (중곡동),39,26,37.561347766991545,127.08209116066408,20140423,,제1종근린생활시설,1781.81,0.0,0.7384916866280585,중규모 (10~49인),근거리 (1km 미만),일반 (2000~2015년),기타,65
1308,요양원,사랑재요양원,,광진구,광진구 자양로 188 (구의동),74,50,37.544303446818375,127.08523719243665,20140805,,노유자시설,1749.42,0.0,0.2202882267482622,대규모 (50인 이상),근거리 (1km 미만),일반 (2000~2015년),기타,80
1309,요양원,워커힐실버타운,,광진구,광진구 워커힐로 93 (구의동),122,84,37.5506621093827,127.09774687422268, ,,노유자시설,15488.26,0.0,1.4611465275147306,대규모 (50인 이상),중거리 (1~3km),미상,기타,80
1310,요양원,워커힐케어센터1,,광진구,"광진구 아차산로 634 6, 7층 (광장동)",78,46,37.54899368415428,127.1082997767183,20100721,,업무시설,8494.08,0.0,1.8747113145553436,대규모 (50인 이상),중거리 (1~3km),일반 (2000~2015년),기타,65
1311,요양원,워커힐케어센터2,,광진구,광진구 아차산로 634 5층 (광장동),39,25,37.54899368415428,127.1082997767183,20100721,,업무시설,8494.08,0.0,1.8747113145553436,중규모 (10~49인),중거리 (1~3km),일반 (2000~2015년),기타,65
